away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
0,35,2,9,81,29,162,79,8,1,7,7,14,130,48,102,34,2,1.14,8.5,19.0,A
2,20,2,9,96,28,103,45,6,0,12,6,13,130,43,111,44,4,2.15,3.1,3.8,D
3,7,5,14,94,39,112,28,2,0,12,6,18,131,48,119,43,4,4.0,3.3,2.0,H
3,16,2,10,144,49,130,48,5,2,9,5,16,141,65,99,32,3,2.0,3.3,4.0,D
1,8,7,14,141,45,121,40,2,2,9,5,15,92,42,105,40,3,7.0,3.75,1.57,H
1,11,6,19,129,53,96,29,3,1,19,2,9,107,32,171,54,7,34.0,13.0,1.06,H
2,10,3,13,132,42,102,36,5,1,20,4,16,124,47,131,48,5,8.0,4.75,1.4,H
3,12,3,14,150,45,102,32,4,0,12,6,16,138,52,113,46,4,3.3,3.2,2.3,A
2,17,1,8,96,31,123,48,7,1,8,4,14,126,41,98,31,5,2.0,3.4,3.8,A
3,7,5,15,145,66,103,30,2,2,11,3,11,115,43,124,44,5,7.5,4.0,1.5,H
0,11,6,15,132,49,115,47,4,3,17,2,8,93,25,104,46,5,10.0,5.0,1.33,H
1,5,8,15,127,46,103,30,1,3,8,5,15,105,44,111,30,2,4.33,3.25,1.95,D
3,11,4,12,102,39,117,42,3,1,10,6,18,138,54,94,25,3,2.25,3.3,3.3,A
2,10,4,13,90,40,110,40,4,0,13,6,18,130,47,119,44,4,2.8,3.4,2.5,H
1,18,2,9,104,28,175,55,7,0,37,1,8,88,30,157,79,9,4.5,4.5,1.67,H
1,11,5,11,132,43,103,39,4,3,9,5,17,105,42,135,50,2,2.8,3.25,2.6,D
1,6,8,16,148,50,120,39,1,3,12,3,14,147,46,106,35,4,6.0,3.75,1.62,H
1,21,4,16,119,44,131,46,5,3,14,2,8,136,43,130,50,5,3.75,3.4,2.05,A
0,14,5,17,127,46,109,42,5,2,3,8,14,137,47,95,26,0,2.9,3.3,2.5,A
0,10,7,19,142,53,94,28,3,3,8,5,15,152,66,91,25,2,3.75,3.25,2.1,A
3,18,1,5,81,19,114,49,6,1,6,9,19,146,49,122,42,0,1.4,4.5,9.5,A
2,14,3,14,138,49,115,33,5,1,9,5,13,92,38,103,36,4,4.2,3.4,1.95,D
